card_name,f1,f1_sig_strike_per,f1_sig_strike_total,f1_td_attempt,f1_td_succeed,f2,f2_sig_strike_per,f2_sig_strike_total,f2_td_attempt,f2_td_succeed,fights_location,round_format,round_fought,weight_class,winner,winning_method,fight_year,SApM_f1,SLpM_f1,height_f1,reach_f1,stance_f1,strAcc_f1,strDef_f1,subAvg_f1,tdAcc_f1,tdAvg_f1,tdDef_f1,weight_f1,born_year_f1,win_f1,lose_f1,draw_f1,nc_f1,SApM_f2,SLpM_f2,height_f2,reach_f2,stance_f2,strAcc_f2,strDef_f2,subAvg_f2,tdAcc_f2,tdAvg_f2,tdDef_f2,weight_f2,born_year_f2,win_f2,lose_f2,draw_f2,nc_f2,f1_age_when_fight,f2_age_when_fight
UFC 301: Pantoja vs. Erceg,Caio Borralho,0.45,48.0,6.0,0.0,Paul Craig,0.72,50.0,0.0,0.0,"Rio de Janeiro, Rio de Janeiro, Brazil",3.0,2.0,Middleweight,1.0,KO/TKO,2024.0,3.46,3.79,182.88,76.0,Orthodox,0.43,0.54,0.6,0.22,1.46,0.55,170,1987,19,7,0,0,2.73,2.35,167.64000000000001,66.0,Orthodox,0.5,0.67,2.3,0.33,1.93,0.42,125.0,1992.0,8.0,3.0,0.0,0.0,37.0,32.0
UFC 301: Pantoja vs. Erceg,Jack Shore,0.6,40.0,2.0,0.0,Joanderson Brito,0.53,56.0,1.0,1.0,"Rio de Janeiro, Rio de Janeiro, Brazil",3.0,2.0,Featherweight,0.0,KO/TKO,2024.0,3.1,5.73,172.72,71.0,Orthodox,0.55,0.7,0.0,0.33,0.96,0.76,155,1995,20,5,0,0,5.3,3.99,177.8,72.0,Orthodox,0.47,0.48,0.0,0.23,1.23,0.76,155.0,1997.0,16.0,5.0,0.0,0.0,29.0,27.0
UFC 301: Pantoja vs. Erceg,Michel Pereira,0.6,10.0,0.0,0.0,Ihor Potieria,0.66,3.0,0.0,0.0,"Rio de Janeiro, Rio de Janeiro, Brazil",3.0,1.0,Middleweight,1.0,SUB,2024.0,6.09,7.38,175.26,71.0,Orthodox,0.42,0.48,0.0,0.66,0.67,0.82,125,1998,6,1,1,0,3.81,2.14,177.8,72.0,Orthodox,0.45,0.43,1.7,0.41,1.99,0.47,170.0,1992.0,12.0,5.0,0.0,0.0,26.0,32.0
UFC Fight Night: Lewis vs. Nascimento,Chase Hooper,0.56,109.0,1.0,1.0,Viacheslav Borshchev,0.33,6.0,0.0,0.0,"St. Louis, Missouri, USA",3.0,2.0,Lightweight,1.0,SUB,2024.0,3.08,3.11,177.8,74.0,Orthodox,0.48,0.5,0.7,0.45,5.82,0.4,155,1998,14,2,1,0,3.5,4.14,162.56,67.0,Orthodox,0.47,0.57,0.0,0.12,0.27,0.9,125.0,1996.0,14.0,4.0,0.0,0.0,26.0,28.0
UFC 301: Pantoja vs. Erceg,Jose Aldo,0.55,139.0,2.0,1.0,Jonathan Martinez,0.44,118.0,2.0,0.0,"Rio de Janeiro, Rio de Janeiro, Brazil",3.0,3.0,Bantamweight,1.0,U-DEC,2024.0,1.09,3.15,185.42,77.0,Orthodox,0.61,0.56,0.6,0.65,4.81,0.82,170,1991,14,5,0,0,3.54,4.33,175.26,70.0,Orthodox,0.55,0.5,0.0,0.27,1.65,0.69,155.0,1988.0,15.0,3.0,1.0,0.0,33.0,36.0
UFC 301: Pantoja vs. Erceg,Alexandre Pantoja,0.51,242.0,19.0,9.0,Steve Erceg,0.52,212.0,6.0,1.0,"Rio de Janeiro, Rio de Janeiro, Brazil",5.0,5.0,Flyweight,1.0,U-DEC,2024.0,5.99,5.1,165.1,68.0,Orthodox,0.44,0.51,0.0,0.0,0.0,0.65,125,1997,10,3,0,0,4.59,4.54,180.34,75.0,Orthodox,0.58,0.61,0.0,0.0,0.0,1.0,155.0,1996.0,12.0,1.0,0.0,0.0,27.0,28.0
UFC Fight Night: Lewis vs. Nascimento,Robelis Despaigne,0.51,101.0,4.0,3.0,Waldo Cortes-Acosta,0.5,52.0,0.0,0.0,"St. Louis, Missouri, USA",3.0,3.0,Heavyweight,0.0,U-DEC,2024.0,4.53,3.66,172.72,69.0,Southpaw,0.43,0.53,0.8,0.5,0.39,0.69,155,1989,13,6,0,0,5.51,5.54,160.02,64.0,Orthodox,0.43,0.57,0.2,0.22,0.31,0.74,115.0,1985.0,16.0,9.0,0.0,0.0,35.0,39.0
UFC Fight Night: Lewis vs. Nascimento,Alex Caceres,0.41,197.0,0.0,0.0,Sean Woodson,0.44,226.0,0.0,0.0,"St. Louis, Missouri, USA",3.0,3.0,Featherweight,0.0,U-DEC,2024.0,4.53,4.39,182.88,74.0,Orthodox,0.46,0.53,0.1,0.34,2.31,0.78,155,1994,17,8,0,0,2.6,2.72,187.96,77.0,Orthodox,0.45,0.47,1.0,0.58,3.25,0.71,205.0,1997.0,12.0,2.0,0.0,0.0,30.0,27.0
UFC Fight Night: Lewis vs. Nascimento,Derrick Lewis,0.54,75.0,4.0,1.0,Rodrigo Nascimento,0.65,41.0,1.0,1.0,"St. Louis, Missouri, USA",5.0,3.0,Heavyweight,1.0,KO/TKO,2024.0,2.53,2.94,160.02,66.0,Orthodox,0.44,0.65,0.2,0.6,2.15,0.54,115,2002,17,6,0,0,3.0,2.54,190.5,76.0,Orthodox,0.45,0.43,1.4,0.19,1.47,0.35,205.0,1987.0,17.0,9.0,1.0,1.0,22.0,37.0
UFC Fight Night: Lewis vs. Nascimento,Diego Ferreira,0.51,241.0,3.0,3.0,Mateusz Rebecki,0.37,137.0,5.0,4.0,"St. Louis, Missouri, USA",3.0,3.0,Lightweight,1.0,KO/TKO,2024.0,5.04,3.19,193.04,76.0,Orthodox,0.49,0.44,0.6,0.22,0.44,0.5,205,1988,38,22,0,0,2.49,2.48,172.72,72.0,Orthodox,0.5,0.42,1.0,0.68,2.49,0.56,145.0,1995.0,17.0,5.0,1.0,0.0,36.0,29.0
